48:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:81:9.0 |==> -9.0
49:AOR:/(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:81:5.0 / 9.0 |==> 5.0 % 9.0
50:AOR:/(double,double):*(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:81:5.0 / 9.0 |==> 5.0 * 9.0
51:AOR:/(double,double):+(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:81:5.0 / 9.0 |==> 5.0 + 9.0
52:AOR:/(double,double):-(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:81:5.0 / 9.0 |==> 5.0 - 9.0
53:ORU:-(double):+(double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:-FastMath.sqrt((15.0 + 2.0 * FastMath.sqrt(30.0)) / 35.0) |==> +FastMath.sqrt((15.0 + 2.0 * FastMath.sqrt(30.0)) / 35.0)
54:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:15.0 |==> 0.0
55:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:15.0 |==> -15.0
56:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:2.0 |==> 0.0
57:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:2.0 |==> -2.0
58:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:30.0 |==> 0.0
59:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:30.0 |==> -30.0
60:AOR:*(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:2.0 * FastMath.sqrt(30.0) |==> 2.0 % FastMath.sqrt(30.0)
61:AOR:*(double,double):+(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:86:2.0 * FastMath.sqrt(30.0) |==> 2.0 + FastMath.sqrt(30.0)
