1:ROR:!=(int,int):<(int,int):org.apache.commons.math3.distribution.EnumeratedRealDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,double[],double[]):90:singletons.length != probabilities.length |==> singletons.length < probabilities.length
37:STD:<ASSIGN>:<NO-OP>:org.apache.commons.math3.distribution.EnumeratedRealDistribution@getNumericalVariance():164:mean += sample.getValue() * sample.getKey() |==> <NO-OP>
38:AOR:*(double,double):%(double,double):org.apache.commons.math3.distribution.EnumeratedRealDistribution@getNumericalVariance():165:sample.getValue() * sample.getKey() |==> sample.getValue() % sample.getKey()
39:AOR:*(double,double):+(double,double):org.apache.commons.math3.distribution.EnumeratedRealDistribution@getNumericalVariance():165:sample.getValue() * sample.getKey() |==> sample.getValue() + sample.getKey()
40:AOR:*(double,double):-(double,double):org.apache.commons.math3.distribution.EnumeratedRealDistribution@getNumericalVariance():165:sample.getValue() * sample.getKey() |==> sample.getValue() - sample.getKey()
41:AOR:*(double,double):/(double,double):org.apache.commons.math3.distribution.EnumeratedRealDistribution@getNumericalVariance():165:sample.getValue() * sample.getKey() |==> sample.getValue() / sample.getKey()
42:AOR:*(double,double):%(double,double):org.apache.commons.math3.distribution.EnumeratedRealDistribution@getNumericalVariance():165:sample.getValue() * sample.getKey() * sample.getKey() |==> sample.getValue() * sample.getKey() % sample.getKey()
43:AOR:*(double,double):+(double,double):org.apache.commons.math3.distribution.EnumeratedRealDistribution@getNumericalVariance():165:sample.getValue() * sample.getKey() * sample.getKey() |==> sample.getValue() * sample.getKey() + sample.getKey()
44:AOR:*(double,double):-(double,double):org.apache.commons.math3.distribution.EnumeratedRealDistribution@getNumericalVariance():165:sample.getValue() * sample.getKey() * sample.getKey() |==> sample.getValue() * sample.getKey() - sample.getKey()
45:AOR:*(double,double):/(double,double):org.apache.commons.math3.distribution.EnumeratedRealDistribution@getNumericalVariance():165:sample.getValue() * sample.getKey() * sample.getKey() |==> sample.getValue() * sample.getKey() / sample.getKey()
46:STD:<ASSIGN>:<NO-OP>:org.apache.commons.math3.distribution.EnumeratedRealDistribution@getNumericalVariance():165:meanOfSquares += sample.getValue() * sample.getKey() * sample.getKey() |==> <NO-OP>
47:AOR:*(double,double):%(double,double):org.apache.commons.math3.distribution.EnumeratedRealDistribution@getNumericalVariance():168:mean * mean |==> mean % mean
48:AOR:*(double,double):+(double,double):org.apache.commons.math3.distribution.EnumeratedRealDistribution@getNumericalVariance():168:mean * mean |==> mean + mean
49:AOR:*(double,double):-(double,double):org.apache.commons.math3.distribution.EnumeratedRealDistribution@getNumericalVariance():168:mean * mean |==> mean - mean
50:AOR:*(double,double):/(double,double):org.apache.commons.math3.distribution.EnumeratedRealDistribution@getNumericalVariance():168:mean * mean |==> mean / mean
51:AOR:-(double,double):%(double,double):org.apache.commons.math3.distribution.EnumeratedRealDistribution@getNumericalVariance():168:meanOfSquares - mean * mean |==> meanOfSquares % (mean * mean)
52:AOR:-(double,double):*(double,double):org.apache.commons.math3.distribution.EnumeratedRealDistribution@getNumericalVariance():168:meanOfSquares - mean * mean |==> meanOfSquares * (mean * mean)
53:AOR:-(double,double):+(double,double):org.apache.commons.math3.distribution.EnumeratedRealDistribution@getNumericalVariance():168:meanOfSquares - mean * mean |==> meanOfSquares + mean * mean
54:AOR:-(double,double):/(double,double):org.apache.commons.math3.distribution.EnumeratedRealDistribution@getNumericalVariance():168:meanOfSquares - mean * mean |==> meanOfSquares / (mean * mean)
55:EVR:<MEMBER_SELECT(double)>:<DEFAULT>:org.apache.commons.math3.distribution.EnumeratedRealDistribution@getSupportLowerBound():179:Double.POSITIVE_INFINITY |==> 0.0
56:ROR:<(double,double):!=(double,double):org.apache.commons.math3.distribution.EnumeratedRealDistribution@getSupportLowerBound():181:sample.getKey() < min |==> sample.getKey() != min
