v1,v2
v3,v4
v4,v5
v5,v6
v5,v7
v7,v8
v8,v9
v8,v10
v10,v11
v11,v12
v13,v14
v15,v16
v17,v18
v18,v19
v18,v20
v20,v21
v22,v23
v23,v24
v23,v26
v25,v29
v26,v27
v26,v28
v28,v25
v30,v31
v31,v32
v31,v34
v32,v33
v33,v34
v34,v35
v36,v37
v37,v38
v38,v39
v39,v40
v40,v41
v42,v43
v43,v44
v43,v46
v44,v45
v45,v46
v46,v47
v48,v49
v49,v50
v50,v51
v51,v52
v52,v53
v53,v54
v55,v56
v56,v57
v57,v60
v57,v61
v60,v62
v61,v57
v63,v64
v65,v66
v67,v68
