v1,v2
v2,v3
v3,v4
v4,v5
v5,v7
v5,v8
v6,v5
v7,v40
v8,v9
v9,v10
v9,v13
v10,v11
v11,v12
v12,v33
v13,v14
v13,v16
v14,v15
v15,v12
v16,v17
v16,v32
v17,v18
v18,v19
v18,v21
v19,v20
v20,v31
v21,v22
v21,v25
v22,v23
v23,v24
v24,v20
v25,v26
v25,v29
v26,v27
v27,v28
v28,v24
v29,v30
v30,v28
v31,v15
v32,v31
v33,v34
v33,v39
v34,v35
v35,v37
v35,v38
v36,v35
v37,v39
v38,v36
v39,v6
